Control_ID,Requirement_ID,Target_Provider,Parameter_Field,Operator,Expected_Value,Confidence,Status,Documentation_URL
JC-001,REQ-JC001-GCP-01,gcp,iam_policy_bindings_members,not_contains,"allUsers, allAuthenticatedUsers",1.00,APPROVED,https://cloud.google.com/docs/storage/docs/access-control/iam
JC-001,REQ-JC001-AWS-01,aws,PublicAccessBlockConfiguration.BlockPublicAcls,==,true,1.00,APPROVED,https://docs.aws.amazon.com/AmazonS3/latest/userguide/access-control-block-public-access.html
JC-002,REQ-JC002-AWS-01,aws,VersioningConfiguration.Status,==,Enabled,1.00,APPROVED,https://docs.aws.amazon.com/AmazonS3/latest/userguide/Versioning.html
JC-003,REQ-JC003-GCP-01,gcp,iamConfiguration.uniformBucketLevelAccess.enabled,==,true,1.00,APPROVED,https://cloud.google.com/docs/storage/docs/uniform-bucket-level-access
JC-004,REQ-JC004-GCP-01,gcp,ipConfiguration.sslMode,==,TRUSTED_CLIENT_CERTIFICATE_REQUIRED,1.00,APPROVED,https://cloud.google.com/docs/sql/mysql/configure-ssl-instance
JC-005,REQ-JC005-GCP-01,gcp,settings.backupConfiguration.enabled,==,true,1.00,APPROVED,https://cloud.google.com/docs/sql/docs/mysql/backup-recovery/performing
JC-006,REQ-JC006-AWS-01,aws,DBInstance.PubliclyAccessible,==,false,1.00,APPROVED,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_VPC.WorkingWithRDSInstanceinaVPC.html
JC-007,REQ-JC007-GCP-01,gcp,service_accounts.email,!=,default,1.00,APPROVED,https://cloud.google.com/docs/compute/docs/access/service-accounts
JC-008,REQ-JC008-AWS-01,aws,root_account.access_keys,==,none,1.00,APPROVED,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_root-user_manage_delete-key.html
JC-009,REQ-JC009-GCP-01,gcp,service_account_keys.validAfterTime,within,90d,1.00,APPROVED,https://cloud.google.com/docs/iam/best-practices
AC-1,AC-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AC-2,AC-02-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AC-3,REQ-COMP-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AC-7,AC-07,gcp,iam.serviceAccount.login_failure_threshold,==,5,0.85,PENDING,https://cloud.google.com/docs/authentication/troubleshooting
AC-8,AC-08_ODP.01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AC-14,ac-14_odp,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AC-17,REQ-REMOTE-ACCESS-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AC-18,REQ-WIFI-AUTH-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AC-19,REQ-MOBILE-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AC-20,ac-20_odp.01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AC-22,ac-22_odp,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AT-1,AT-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AT-2,AT-2,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AT-3,REQ-AT-03,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AT-4,REQ-TRAINING-RECORDS-001,N/A,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AU-1,AU-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AU-2,AU-2: Event Logging Types,gcp,audit_logging_event_types,contains,"password_change, failed_logon, failed_access, security_attribute_change, admin_privilege_usage, pki_credential_usage, privacy_attribute_change, data_access, external_credential_usage",1.00,PENDING,https://cloud.google.com/logging/docs/audit
AU-3,JCT-4827,gcp,audit_log_required_fields,contains,"event_type,event_time,event_location,source_address,event_outcome,affected_account,success_status,processed_filenames",1.00,PENDING,https://cloud.google.com/audit-logging/docs/audit-logging-overview
AU-4,AU-04-001,gcp,retention_period,>=,365,0.85,PENDING,https://cloud.google.com/docs/security/audit-logging
